,date,Recorder,plot,number,subplot,AVquadrat,AVquadrat2,AVstemsTotal,AVstemswseed,AVgoodseed,AVmoldseed,AVstemswmold,AVstemsnoseed,Avextra,EROquadrat,EROquadrat2,EROcount,EROstork,EROseed,EROextra,notes
171,4/23/15,LMH,12,6,D1_A5_E5,25x25cm,25x25cm,,13,64,9,2,1,,25x25cm,25x25cm,3,3,4,,2/13 AV plants with seed have mold
172,4/23/15,LMH,12,7,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,7,14,4,,
173,4/23/15,LMH,12,8,D1_A1_E9,25x25cm,25x25cm,,2,10,5,1,0,,25x25cm,25x25cm,2,5,1,,1/2 AV plants with seed have mold
174,4/23/15,LMH,12,9,D1_A10,25x25cm,25x25cm,,12,49,6,1,2,,NA,NA,NA,NA,NA,,1/12 AV plants with seed have mold
175,4/23/15,LMH,12,10,D3_A10,5x5cm,5x5cm,,26,39,0,0,0,,NA,NA,NA,NA,NA,,
176,4/23/15,LMH,12,11,D1_A9_E1,25x25cm,25x25cm,,15,67,0,0,2,,25x25cm,25x25cm,2,4,1,,2 AV plants not yet bearing seed
177,4/23/15,LMH,12,12,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,1,3,1,,
178,4/23/15,LMH,12,13,D2_A10,10x25cm,10x25cm,,8,51,0,0,7,,NA,NA,NA,NA,NA,,
179,4/23/15,LMH,12,14,D3_A5_E5,5x5cm,5x5cm,,7,13,2,1,0,,5x5cm,5x5cm,1,1,0,,1/7 AV plants with seed have mold
180,4/23/15,LMH,12,15,D3_A9_E1,5x5cm,5x5cm,,9,28,0,0,2,,25x25cm,25x25cm,2,1,3,,
181,4/23/15,LMH,13,1,D2_A10,10x25cm,10x25cm,,18,155,14,3,3,,NA,NA,NA,NA,NA,,3/18 AV plants with seed have mold
182,4/23/15,LMH,13,2,D2_A5_E5,10x25cm,10x25cm,,23,112,29,6,0,,10x25cm,10x25cm,2,7,1,,6/23 AV plants with seed have mold
183,4/23/15,LMH,13,3,D1_A5_E5,25x25cm,25x25cm,,10,87,17,2,0,,25x25cm,25x25cm,8,32,6,,2/10 AV plants with seed have mold
184,4/23/15,LMH,13,4,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,9,32,22,,
185,4/23/15,LMH,13,5,D3_A10,5x5cm,5x5cm,,3,20,0,0,0,,NA,NA,NA,NA,NA,,
186,4/23/15,LMH,13,6,D2_A1_E9,25x25cm,25x25cm,,30,122,18,6,0,,10x25cm,10x25cm,3,11,5,,"6/30 AV plants with seed have mold; ""more AV than planted"""
187,4/23/15,LMH,13,7,D3_A5_E5,5x5cm,5x5cm,,6,14,5,1,0,,5x5cm,5x5cm,2,2,1,,1/6 AV plants with seed have mold
188,4/23/15,LMH,13,8,D1_A9_E1,25x25cm,25x25cm,,17,112,11,2,0,,25x25cm,25x25cm,2,10,5,,"2/17 AV plants with seed have mold; ""+ 2/3/11 side of plot"" (pertains to ERO?)"
189,4/23/15,LMH,13,9,D1_A1_E9,25x25cm,25x25cm,,2,66,0,0,0,,25x25cm,25x25cm,3,10,7,,
190,4/23/15,LMH,13,10,D3_A9_E1,5x5cm,5x5cm,,3,42,0,0,0,,25x25cm,25x25cm,1,4,0,,very shriveled ERO on the edge
191,4/23/15,LMH,13,11,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,9,38,26,,
192,4/23/15,LMH,13,12,D3_A1_E9,25x25cm,25x25cm,,41,164,44,8,2,,5x5cm,5x5cm,1,2,0,,8/41 AV plants with seed have mold
193,4/23/15,LMH,13,13,D2_A9_E1,10x25cm,10x25cm,,29,186,19,3,0,,25x25cm,25x25cm,7,17,6,,3/29 AV plants with seed have mold
194,4/23/15,LMH,13,14,D1_A10,25x25cm,25x25cm,,21,191,8,2,4,,NA,NA,NA,NA,NA,,2/21 AV plants with seed have mold
195,4/23/15,LMH,13,15,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,10,17,12,,
196,4/23/15,LMH,14,1,D2_A10,10x25cm,10x25cm,,18,118,20,3,1,,NA,NA,NA,NA,NA,,3/18 AV plants with seed have mold
197,4/23/15,LMH,14,2,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,1,2,0,,
198,4/23/15,LMH,14,3,D3_A5_E5,5x5cm,5x5cm,,8,10,7,2,1,,5x5cm,5x5cm,3,2,4,,2/8 AV plants with seed have mold
199,4/23/15,LMH,14,4,D1_A9_E1,25x25cm,25x25cm,,2,36,0,0,2,,25x25cm,25x25cm,2,6,4,,
200,4/23/15,LMH,14,5,D3_A1_E9,25x25cm,25x25cm,,22,99,20,4,3,,5x5cm,5x5cm,4,8,3,,4/22 AV plants with seed have mold
201,4/23/15,LMH,14,6,D2_A9_E1,10x25cm,10x25cm,,24,87,30,3,2,,25x25cm,25x25cm,3,0,3,,3/24 AV plants with seed have mold
202,4/23/15,LMH,14,7,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,5,9,3,,
203,4/23/15,LMH,14,8,D3_A10,5x5cm,5x5cm,,4,27,0,0,2,,NA,NA,NA,NA,NA,,
204,4/23/15,LMH,14,9,D1_A1_E9,25x25cm,25x25cm,,2,23,0,0,0,,25x25cm,25x25cm,6,28,10,,
205,4/23/15,LMH,14,10,D3_A9_E1,5x5cm,5x5cm,,4,38,0,0,0,,25x25cm,25x25cm,2,6,3,,gopher?
206,4/23/15,LMH,14,11,D1_A5_E5,25x25cm,25x25cm,,5,29,7,0,0,,25x25cm,25x25cm,5,15,8,,
207,4/23/15,LMH,14,12,D2_A1_E9,25x25cm,25x25cm,,5,60,0,0,4,,10x25cm,10x25cm,4,8,4,,
208,4/23/15,LMH,14,13,D1_A10,25x25cm,25x25cm,,12,87,0,0,0,,NA,NA,NA,NA,NA,,
209,4/23/15,LMH,14,14,D2_A5_E5,10x25cm,10x25cm,,12,105,10,3,0,,10x25cm,10x25cm,3,7,3,,3/12 AV plants with seed have mold
210,4/23/15,LMH,14,15,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,*10x25cm,25x25cm,1,4,1,,*ERO sampled with 25x25cm frame
211,4/23/15,LMH,15,1,D1_A10,25x25cm,25x25cm,,17,95,43,4,0,,NA,NA,NA,NA,NA,,4/17 AV plant with seed have mold
212,4/23/15,LMH,15,2,D3_A9_E1,5x5cm,5x5cm,,22,34,4,1,0,,25x25cm,25x25cm,4,2,2,,1/22 AV plants with seed have mold; ERO all on edge
213,4/23/15,LMH,15,3,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,1,12,4,,"""a 1/1 on edge with plot 2, counted in 2"""
214,4/23/15,LMH,15,4,D1_A9_E1,25x25cm,25x25cm,,4,77,24,1,2,,25x25cm,25x25cm,1,7,0,,1/4 AV plants with seed have mold
215,4/23/15,LMH,15,5,D3_A5_E5,5x5cm,5x5cm,,17,19,7,4,0,,*5x5cm,25x25cm,5,5,1,,4/17 AV plants with seed have mold; *ERO sampled with 25x25cm frame
216,4/23/15,LMH,15,6,D2_A5_E5,10x25cm,10x25cm,,28,152,6,1,0,,10x25cm,10x25cm,1,1,0,,1/28 AV plants with seed have mold
217,4/23/15,LMH,15,7,D2_A9_E1,10x25cm,10x25cm,,46,183,52,10,1,,25x25cm,25x25cm,1,1,0,,10/46 AV plants with seed have mold
218,4/23/15,LMH,15,8,D2_A10,10x25cm,10x25cm,,11,134,7,1,2,,NA,NA,NA,NA,NA,,1/11 AV plants with seed have mold
219,4/23/15,LMH,15,9,D2_A1_E9,25x25cm,25x25cm,,19,164,13,1,1,,10x25cm,10x25cm,2,2,1,,1/19 AV plants with seed have mold
220,4/23/15,LMH,15,10,D1_A5_E5,25x25cm,25x25cm,,7,88,12,1,3,,25x25cm,25x25cm,1,1,0,,1/7 AV plants with seed have mold
221,4/23/15,LMH,15,11,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,4,10,2,,
222,4/23/15,LMH,15,12,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,7,1,6,,
223,4/23/15,LMH,15,13,D3_A10,5x5cm,5x5cm,,22,38,0,0,0,,NA,NA,NA,NA,NA,,
224,4/23/15,LMH,15,14,D1_A1_E9,25x25cm,25x25cm,,2,24,0,0,0,1,25x25cm,25x25cm,0,0,0,,"""Actually 9/69 for AV"""
225,4/23/15,LMH,15,15,D3_A1_E9,25x25cm,25x25cm,,43,337,33,4,4,,5x5cm,5x5cm,0,0,0,,4/43 AV plants with seed have mold
226,4/23/15,LMH,16,1,D2_A9_E1,10x25cm,10x25cm,,3,0,0,0,0,,25x25cm,25x25cm,0,0,0,,Gopher
227,4/23/15,LMH,16,2,D1_A1_E9,25x25cm,25x25cm,,0,0,0,0,0,,25x25cm,25x25cm,0,0,0,,Gopher
228,4/23/15,LMH,16,3,D2_A5_E5,10x25cm,10x25cm,,8,33,0,0,0,,10x25cm,10x25cm,1,2,0,,1/2 gopher
229,4/23/15,LMH,16,4,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,*5x5cm,5x5cm,3,6,10,,"*ERO count is 14 stems, 89 storks, and 47 buds when use 25x25cm frame"
230,4/23/15,LMH,16,5,D3_A10,*5x5cm,25x25cm,,2,6,0,0,0,,NA,NA,NA,NA,NA,,*AV count sampled using 25x25cm frame; gopher
231,4/23/15,LMH,16,6,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,0,0,0,,Gopher
232,4/23/15,LMH,16,7,D2_A1_E9,25x25cm,25x25cm,,8,60,3,0,1,,10x25cm,10x25cm,4,7,4,,
233,4/23/15,LMH,16,8,D2_A10,10x25cm,10x25cm,,4,29,0,0,0,,NA,NA,NA,NA,NA,,Gopher
234,4/23/15,LMH,16,9,D3_A5_E5,*5x5cm,25x25cm,,6,16,0,0,0,,5x5cm,5x5cm,0,0,0,,*AV count sampled using 25x25cm frame; gopher
235,4/23/15,LMH,16,10,D1_A5_E5,25x25cm,25x25cm,,0,0,0,0,0,,25x25cm,25x25cm,2,2,0,,Gopher
236,4/23/15,LMH,16,11,D3_A9_E1,5x5cm,5x5cm,,0,0,0,0,0,,25x25cm,25x25cm,1,6,2,,Gopher
237,4/23/15,LMH,16,12,D1_A10,25x25cm,25x25cm,,6,58,0,0,0,,NA,NA,NA,NA,NA,,Gopher
238,4/23/15,LMH,16,13,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,6,82,49,,
239,4/23/15,LMH,16,14,D1_A9_E1,25x25cm,25x25cm,,10,146,10,1,1,,25x25cm,25x25cm,2,23,6,,1/10 AV plants with seed have mold; gopher
240,4/23/15,LMH,16,15,D3_A1_E9,25x25cm,25x25cm,,12,98,0,0,0,,5x5cm,5x5cm,4,10,4,,Gopher
